Timestamp,F1.1 (uL/min),F1.2 (uL/min),F2.1 (uL/min),F2.2 (uL/min),G1 (bar),G3.1 (bar),G3.2 (bar),P1
11:01:27,"3,250","3,250",-38.3,"1,704",6.251,4.727,4.416,0.514
11:01:28,"3,250","3,250",-37.8,"1,676",6.097,4.8,4.454,0.513
11:01:29,"3,250","3,250",-37.8,"1,664.30",6.12,4.756,4.544,0.514
11:01:30,"3,250","3,250",-37.6,"1,653.50",6.105,4.791,4.46,0.514
11:01:31,"3,250","3,250",-37,"1,626.60",5.809,4.78,4.471,0.51
11:01:32,"3,250","3,250",-36.8,"1,613.90",6.088,4.704,4.521,0.514
11:01:33,"3,250","3,250",-36.6,"1,600.70",6.219,4.843,4.579,0.516
11:01:34,"3,250","3,250",-35.9,"1,574.30",5.972,4.937,4.431,0.513
11:01:35,"3,250","3,250",-36.9,"1,595.10",6.161,4.942,4.512,0.516
11:01:36,"3,250","3,250",-37,"1,594.70",6.318,4.98,4.593,0.519
11:01:37,"3,250","3,250",-35.8,"1,548.70",6.158,4.806,4.477,0.518
11:01:38,"3,250","3,250",-35.4,"1,531.40",5.983,4.98,4.46,0.52
11:01:39,"3,250","3,250",-36.6,"1,554.80",6.155,4.942,4.559,0.518
11:01:40,"3,250","3,250",-36.3,"1,537.40",6.486,4.867,4.649,0.524
11:01:41,"3,250","3,250",-34.7,"1,481.40",6.213,4.893,4.425,0.522
11:01:42,"3,250","3,250",-32.2,"1,397.50",6.027,5.021,4.378,0.52
11:01:43,"3,250","3,250",-34.2,"1,442.40",6.332,5.012,4.564,0.525
11:01:44,"3,250","3,250",-32.1,"1,367.20",6.204,4.919,4.442,0.524
11:01:45,"3,250","3,250",-27.6,"1,216.20",6.024,4.875,4.535,0.522
11:01:46,"3,250","3,250",-28.7,"1,240.80",6.12,5.108,4.506,0.523
11:01:47,"3,250","3,250",-30,"1,278",6.027,5.059,4.46,0.523
11:01:48,"3,250","3,250",-30.2,"1,283.30",6.065,4.791,4.588,0.523
11:01:49,"3,250","3,250",-30.2,"1,283.30",6.065,4.791,4.588,0.525
11:01:50,"3,250","3,250",-27.9,"1,199.70",6.361,5.059,4.53,0.528
11:01:51,"3,250","3,250",-27.9,"1,194.90",6.329,5.059,4.62,0.528
11:01:52,"3,250","3,250",-25.6,"1,113.60",6.364,4.986,4.623,0.529
11:01:53,"3,250","3,250",-26.4,"1,132.70",6.483,4.826,4.576,0.533
11:01:54,"3,250","3,250",-25.7,"1,105.20",5.89,5.175,4.483,0.525
11:01:55,"3,250","3,250",-23.6,"1,021.50",6.236,4.919,4.698,0.53
11:01:56,"3,250","3,250",-26.2,"1,093",6.425,5.152,4.681,0.533
11:01:57,"3,250","3,250",-21.8,959.6,6.047,5.251,4.436,0.532
11:01:58,"3,250","3,250",-26,"1,101.90",6.21,5.015,4.675,0.532
11:01:59,"3,250","3,250",-26.5,"1,099.30",6.376,5.082,4.64,0.537
11:02:00,"3,250","3,250",-22.2,929,6.265,5.079,4.413,0.535
11:02:01,"3,250","3,250",-16.4,739.5,6.254,5.056,4.695,0.536
11:02:02,"3,250","3,250",-15.3,674.3,6.271,5.024,4.576,0.537
11:02:03,"3,250","3,250",-14.5,652.5,6.254,5.056,4.652,0.539
11:02:04,"3,250","3,250",-15.6,686.4,6.361,5.195,4.567,0.54
11:02:05,"3,250","3,250",-15,651.4,6.166,5.111,4.495,0.538
11:02:06,"3,250","3,250",-15.2,671.3,6.248,5.076,4.404,0.54
11:02:07,"3,250","3,250",-15.2,673.8,6.248,5.076,4.404,0.54
11:02:08,"3,250","3,250",-17.3,751,6.32,5.134,4.739,0.542
11:02:09,"3,250","3,250",-16.4,710.6,6.318,5.03,4.666,0.544
11:02:10,"3,250","3,250",-11.7,518.3,6.349,4.899,4.742,0.545
11:02:11,"3,250","3,250",-8.6,384.3,6.248,5.146,4.556,0.544
11:02:12,"3,250","3,250",-12.3,554.8,6.233,5.099,4.716,0.544
11:02:13,"2,689.30","3,250",-9.2,401,6.201,5.175,4.623,0.545
11:02:14,"1,885.50","3,250",-11.3,499.2,6.309,4.966,4.666,0.547
11:02:15,"2,669.10","3,250",-10.2,438.7,6.163,4.963,4.614,0.545
11:02:16,"3,250","3,250",-9.3,401.6,6.251,5.137,4.524,0.547
11:02:17,"2,197.80","3,250",-9.4,411,6.201,5.163,4.599,0.548
11:02:18,906,"3,250",-8.8,374.7,6.123,4.989,4.718,0.547
11:02:19,899.4,"1,978.90",-4.4,157.3,5.829,5.114,4.588,0.543
11:02:20,524.2,"1,336.40",-3.1,85.6,6.306,5.236,4.582,0.55
11:02:21,554.4,"1,505.10",-3.3,96.1,6.306,5.236,4.582,0.548
11:02:22,28,"3,250",-5.3,209.8,6.041,5.253,4.687,0.548
11:02:23,45.1,"1,713.20",-4.1,137.2,6.099,5.12,4.553,0.549
11:02:24,43.5,"1,814.60",-2.7,75.2,6.146,5.064,4.652,0.55
11:02:25,60.4,"2,459.30",-3.6,113.9,6.161,5.262,4.384,0.551
11:02:26,25,"2,844.90",-4.1,163.9,6.102,5.027,4.46,0.551
11:02:27,44.6,"2,670.60",-4.4,157.4,6.318,5.134,4.596,0.554
11:02:28,30.4,"1,193.90",-2.9,79,5.974,5.117,4.73,0.55
11:02:29,18.8,275.3,-1.9,28.8,6.129,5.073,4.585,0.553
11:02:30,15.3,200.3,-1.8,19.4,6.038,5.027,4.576,0.552
11:02:31,21.5,"-1,696.20",15.9,-733.5,6.224,5.242,3.902,0.555
11:02:32,8.3,282.1,41.9,"-1,293.30",5.905,5.181,4.646,0.551
11:02:33,5.7,91.9,-1.8,-17.5,6.195,4.974,4.704,0.555
11:02:34,8.6,17,-1.9,4.4,6.129,5.021,4.646,0.554
11:02:35,12.8,30.1,-2,23.1,5.974,5.143,4.547,0.552
11:02:36,10.6,42.2,-1.9,28.2,6.134,5.166,4.468,0.555
11:02:37,4.3,77.7,-1.9,33.7,6.216,5.076,4.701,0.556
11:02:38,4.3,22.7,-1.7,29,6.158,5.105,4.631,0.556
11:02:39,4,21,-1.7,28.2,6.079,5.024,4.716,0.555
11:02:40,2.4,42.7,-1.7,27.9,6.027,5.03,4.306,0.554
11:02:41,2,288.5,-1.8,33.1,6.198,5.248,4.625,0.557
11:02:42,1.9,232.1,-1.9,39.2,5.94,5.085,4.285,0.555
11:02:43,1.1,17.6,-1.7,32,6.198,5.172,4.605,0.557
11:02:44,1.3,11.2,-1.6,30.6,6.23,5.062,4.527,0.553
11:02:45,2.4,28,-1.6,28,6.184,5.064,4.596,0.557
11:02:46,1.5,8.8,-1.6,29.5,6.033,5.102,4.585,0.556
11:02:47,0.9,8.1,-1.5,28.1,6.082,5.059,4.687,0.556
11:02:48,0.8,4.9,-1.5,28.6,6.053,5.082,4.477,0.556
11:02:49,0.8,4.7,-1.5,28.3,6.053,5.082,4.477,0.556
11:02:50,0.6,8.9,-1.5,28.8,6.076,5.143,4.55,0.557
11:02:51,0.7,8.9,-1.5,28.2,6.076,5.143,4.55,0.557
11:02:52,0.5,8.9,-1.5,28.1,5.963,5.044,4.544,0.555
11:02:53,0.5,8.8,-1.5,27.6,5.969,5.102,4.407,0.555
11:02:54,0.4,8.9,-1.3,26.8,5.841,5.262,4.425,0.554
11:02:55,0.5,7.9,-1.4,26.3,6.178,5.157,4.585,0.558
11:02:56,0.3,4.2,-1.4,26,5.969,5.134,4.579,0.555
11:02:57,0.3,4.2,-1.4,26,5.969,5.134,4.579,0.555
